PatentNo,Jurisdiction,PublicationDate,PublicationYear,ApplicationDate,Applicants,Inventors,Owners_updated,Owners,DocumentType,CPCClassifications,IPCRClassifications,USClassifications
AT519027B1,AT,15/01/2019,2019,19/08/2016,MARTIN TORNER,,,,Granted Patent,A01G9/24;;Y02A40/25;;Y02P60/12;;Y02P60/14,A01G9/24,
AT519027A1,AT,15/03/2018,2018,19/08/2016,MARTIN TORNER,,,,Patent Application,A01G9/24;;Y02A40/25;;Y02P60/12;;Y02P60/14,A01G9/24,
AU728895B2,AU,18/01/2001,2001,19/12/1997,MOBIL OIL CORP,HEINEMANN ROBERT FREDERICK;;HUANG DAVID DA-TEH;;LONG JINGPING;;SAEGER ROLAND BERNARD,,,Granted Patent,B01J19/12;;C07C9/00;;C07B63/00;;C10L3/00;;C10L3/06;;C10L3/06;;E21B43/24;;E21B43/24;;E21B36/00;;E21B36/00;;E21B41/0099;;E21B41/0099;;E21B43/2401;;E21B43/2401,B01D53/32;;B01D/;;B01D5/00;;B01J/;;B01J19/12;;C01B/;;C07B63/00;;C07C/;;C07C1/00;;C07C9/00;;C10L/;;C10L3/00;;C10L3/06;;E21B36/00;;E21B43/24,
AU2012-365103B2,AU,04/08/2016,2016,28/12/2012,JAPAN NEW ENERGY CO LTD,TAHARA CHINEO;;YOKOMINE TAKEHIKO,,"JAPAN NEW ENERGY CO., LTD. (2016-11-03)",Granted Patent,F24T10/10;;Y02E10/10;;Y02P80/15;;F24T10/17;;F24T10/10,F24J3/08,
AU686989B3,AU,12/02/1998,1998,02/10/1997,HADOARP PTY LTD TRUSTEE FOR THE SUTHERS FAMILY TRUST,SUTHERS RODERICK JOHN,,,Limited Patent,,G01F23/00;;G08B21/00;;G08B25/10,
AU2010-345083B2,AU,10/03/2016,2016,19/10/2010,EXXONMOBIL UPSTREAM RES CO,CHENG YAO-CHOU;;HOLL JAMES E;;DISCHINGER JOE D;;SEQUEIRA JOSE J,,,Granted Patent,E21B43/30;;E21B43/30,E21B43/30,
AU2015-224225B2,AU,26/10/2017,2017,10/02/2015,MAEKAWA SEISAKUSHO KK,KATAOKA MASAKI;;ONO YUJI;;YOKOYAMA TAKASHI;;WATANABE HIROSHI,,,Granted Patent,F25B5/02;;F25B9/008;;F25B40/00;;F25B49/02;;F25B2309/061;;F25B2700/1933;;F25B2700/197;;F25B2700/21151;;F25B2700/21161;;F24D17/02;;F25B2339/047;;F25B2400/01;;F25B2400/0415;;F25B2400/16;;F25B2600/021;;F25B2600/2523;;F24H4/02;;Y02B30/70;;F25B41/20;;F25B41/24;;F24D17/02;;F25B5/02;;F25B9/008;;F25B40/00;;F25B49/02;;F25B2309/061;;F25B2700/1933;;F25B2700/197;;F25B2700/21151;;F25B2700/21161;;F25B41/20;;F25B41/24;;F25B5/02;;F25B41/20;;F25B41/24,F25B5/02;;F24H1/00;;F25B1/00;;F25B41/00,
AU2013-315603B2,AU,16/06/2016,2016,11/09/2013,HALLIBURTON ENERGY SERVICES INC,MURPHY ROBERT,,,Granted Patent,C09K8/035;;C09K8/035;;C09K8/50;;C09K8/524;;C09K8/56;;C09K8/602;;C09K8/607;;C09K8/62;;C09K8/72,E21B43/22;;C09K8/58,
AU2014-287199B2,AU,11/08/2016,2016,10/07/2014,HALLIBURTON ENERGY SERVICES INC,RAVI KRISHNA M;;GUILLORY BRITTNEY N;;BOUL PETER JAMES;;SANTRA ASHOK K,,,Granted Patent,C09K8/02;;C09K8/40;;C09K8/40;;C09K8/40;;C08L25/06;;C08L25/06;;C08L25/06;;C09K8/035;;C09K8/035;;C09K8/035;;C09K8/035;;C09K8/40,C09K8/02;;C09K8/40,
AU2012-285550B2,AU,24/09/2015,2015,12/07/2012,OPTASENSE HOLDINGS LTD,LEWIS ANDREW;;RUSSELL STUART,,,Granted Patent,G01V1/22;;G01V1/366;;G01V1/02;;G01V1/226;;G01V1/226;;G01V1/226;;G01V8/00,G01V1/22,
