PatentNo,CitedLink,LensID
US4392531A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:126-777-582-623-939,126-777-582-623-939
US6271766B1,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:170-337-451-588-818,170-337-451-588-818
US5758514A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:148-779-952-165-54X,148-779-952-165-54X
US5272879A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:018-284-218-744-872,018-284-218-744-872
US4909336A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:001-988-285-239-508,001-988-285-239-508
US3914994A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:018-320-901-567-095,018-320-901-567-095
US4945775A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:107-526-262-841-878,107-526-262-841-878
US5723781A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:060-661-059-920-78X,060-661-059-920-78X
US2012-0111560A1,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:183-125-093-765-016,183-125-093-765-016
US5151660A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:160-651-763-114-884,160-651-763-114-884
US7221164B1,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:039-469-421-667-828,039-469-421-667-828
JP2006125769A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:095-770-048-811-011,095-770-048-811-011
US6544691B1,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:068-887-823-650-053,068-887-823-650-053
WO2010-136764A2,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:148-042-330-644-486,148-042-330-644-486
CN1414283A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:044-318-588-558-298,044-318-588-558-298
US2010-0314118A1,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:177-669-636-464-737,177-669-636-464-737
US4023136A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:073-430-896-649-353,073-430-896-649-353
US5396966A,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:188-517-478-118-420,188-517-478-118-420
US2004-0159149A1,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:187-173-818-179-279,187-173-818-179-279
US2006-0037782A1,https://www.lens.org/lens/search/patent/list?q=reference_cited.patent.lens_id:146-704-761-576-363,146-704-761-576-363
