PatentNo,Jurisdiction,PublicationDate,PublicationYear,ApplicationDate,Applicants,Inventors,Owners_updated,Owners,DocumentType
AT519027B1,AT,15/01/2019,2019,19/08/2016,MARTIN TORNER,,,,Granted Patent
AT519027A1,AT,15/03/2018,2018,19/08/2016,MARTIN TORNER,,,,Patent Application
AU728895B2,AU,18/01/2001,2001,19/12/1997,MOBIL OIL CORP,HEINEMANN ROBERT FREDERICK;;HUANG DAVID DA-TEH;;LONG JINGPING;;SAEGER ROLAND BERNARD,,,Granted Patent
AU728895B3,AU,04/08/2016,2016,28/12/2012,JAPAN NEW ENERGY CO LTD,TAHARA CHINEO;;YOKOMINE TAKEHIKO,,"JAPAN NEW ENERGY CO., LTD. (2016-11-03)",Granted Patent
AU728895B4,AU,12/02/1998,1998,02/10/1997,HADOARP PTY LTD TRUSTEE FOR THE SUTHERS FAMILY TRUST,SUTHERS RODERICK JOHN,,,Limited Patent
AU728895B5,AU,10/03/2016,2016,19/10/2010,EXXONMOBIL UPSTREAM RES CO,CHENG YAO-CHOU;;HOLL JAMES E;;DISCHINGER JOE D;;SEQUEIRA JOSE J,,,Granted Patent
AU728895B6,AU,26/10/2017,2017,10/02/2015,MAEKAWA SEISAKUSHO KK,KATAOKA MASAKI;;ONO YUJI;;YOKOYAMA TAKASHI;;WATANABE HIROSHI,,,Granted Patent
AU728895B7,AU,16/06/2016,2016,11/09/2013,HALLIBURTON ENERGY SERVICES INC,MURPHY ROBERT,,,Granted Patent
AU728895B8,AU,11/08/2016,2016,10/07/2014,HALLIBURTON ENERGY SERVICES INC,RAVI KRISHNA M;;GUILLORY BRITTNEY N;;BOUL PETER JAMES;;SANTRA ASHOK K,,,Granted Patent
AU2012-285550B2,AU,24/09/2015,2015,12/07/2012,OPTASENSE HOLDINGS LTD,LEWIS ANDREW;;RUSSELL STUART,,,Granted Patent
AU2017-230716B2,AU,25/11/2021,2021,09/03/2017,CONOCOPHILLIPS CO,FRIEHAUF KYLE;;GIBSON MARK R,,,Granted Patent
AU2014-396229B2,AU,23/11/2017,2017,04/06/2014,HALLIBURTON ENERGY SERVICES INC,DUSTERHOFT RONALD GLEN;;WALTERS HAROLD GRAYSON;;RANJAN PRIYESH;;SMITH KEN;;MCCOLPIN GLENN ROBERT,,,Granted Patent
AU728895B1,AU,28/09/2017,2017,04/06/2014,HALLIBURTON ENERGY SERVICES INC,WALTERS HAROLD GRAYSON;;RANJAN PRIYESH;;SMITH KEN,,,Granted Patent
AU2014-396155B2,AU,18/01/2018,2018,04/06/2014,HALLIBURTON ENERGY SERVICES INC,RANJAN PRIYESH;;SMITH KEN,,,Granted Patent
AU2017-206192B2,AU,24/10/2019,2019,19/07/2017,YANG TAI HER,YANG TAI-HER,,,Granted Patent
AU2010-241272B2,AU,20/04/2017,2017,05/11/2010,YANG TAI HER,YANG TAI-HER,,,Granted Patent
AU2009-339275B2,AU,27/06/2013,2013,15/10/2009,SHELL INT RESEARCH,LOPEZ JORGE LOUIS;;WILLS PETER BERKELEY,,,Granted Patent
AU2014-413962A1,AU,15/06/2017,2017,19/12/2014,HALLIBURTON ENERGY SERV INC,JAMISON DALE E,,,Patent Application
BR102015031872A2,BR,16/08/2016,2016,18/12/2015,BOEING CO,CHAN ERIC YUEN-JUN,,,Patent Application
CA2839682A1,CA,17/01/2013,2013,31/05/2012,BAKER HUGHES INC,DUNCAN ROGER GLEN;;CHILDERS BROOKS A,,,Patent Application
CA2688005A1,CA,30/07/2010,2010,04/12/2009,HUSKY INJECTION MOLDING,BLAGOJEVIC DRAGAN,,,Patent Application
CA2920871A1,CA,19/02/2015,2015,15/08/2014,UNIV TEXAS;;MESA PHOTONICS LLC,ROMANAK KATHERINE;;BOMSE DAVID;;EDIGER MARWOOD N,,,Patent Application
CA2568349A1,CA,08/12/2005,2005,17/05/2005,CIDRA CORP,GYSLING DANIEL L,,,Patent Application
CA2513094A1,CA,27/05/2004,2004,12/11/2003,CIDRA CORP,BAILEY TIMOTHY J;;DAVIS MICHAEL A;;KERSEY ALAN D;;FERNALD MARK R,,,Patent Application
CA2513094C,CA,06/08/2013,2013,12/11/2003,CIDRA CORP,FERNALD MARK R;;DAVIS MICHAEL A;;KERSEY ALAN D;;BAILEY TIMOTHY J,,,Granted Patent
CA2078029A1,CA,13/03/1993,1993,11/09/1992,ATLANTIC RICHFIELD CO,KOLPAK MIROSLAV M;;HETHERINGTON WILLIAM D,,,Patent Application
